9.419719201942362563e-01,9.087787150335078223e-01,9.080218535545339087e-01,9.084001266434486022e-01
9.368732186213448720e-01,9.483697679623964705e-01,8.468918648810713767e-01,8.947627762917076399e-01
9.409268447165628491e-01,9.049008554943961391e-01,9.091211939502964468e-01,9.070061153948417720e-01
9.507653330518315293e-01,9.541448735401590886e-01,8.872676394163502289e-01,9.194918179935096525e-01
9.438720574263697038e-01,9.371394188227798461e-01,8.820374442001466253e-01,9.087539256233804208e-01
9.333579647418980274e-01,8.963649132194094760e-01,8.929309081217935429e-01,8.946446154102901671e-01
9.461205531510609168e-01,9.436885596238780982e-01,8.826370844160170703e-01,9.121423899197852458e-01
9.207009395122981443e-01,8.520963704630788449e-01,9.072223332667066487e-01,8.787957017006035043e-01
9.295576902776311323e-01,9.111627743139948388e-01,8.617163035512026559e-01,8.857499957196911522e-01
9.175129314894964194e-01,8.821160597508088674e-01,8.537877273635818831e-01,8.677207475622968902e-01
9.317850733664098106e-01,9.281663516068052733e-01,8.505563328669465406e-01,8.876681848207766956e-01
9.285865090256518739e-01,8.963354354866200913e-01,8.759411020054633790e-01,8.860209256482401985e-01
3.168795524121186258e-01,3.168795524121186258e-01,1.000000000000000000e+00,4.812582165645941656e-01
9.148738520004222607e-01,8.462120734245883735e-01,8.937970551002731856e-01,8.693538979975373726e-01
9.410429642140821782e-01,9.628338700511460679e-01,8.466253581184622901e-01,9.009979969156045598e-01
9.364087406312677775e-01,9.031791907514450379e-01,8.952961556399493537e-01,8.992203968280522153e-01
9.353425525176818356e-01,9.297456743048311267e-01,8.610167232993537478e-01,8.940623000155663025e-01
9.411063021218198932e-01,9.349969741198248530e-01,8.749750149910053842e-01,9.039907759555319000e-01
9.395228544283753536e-01,9.137678443664610795e-01,8.934639216470118273e-01,9.035018275531001564e-01
9.413913227066399436e-01,9.189670525378450527e-01,8.938636817909254573e-01,9.062415563361253534e-01
9.361659453182730184e-01,9.380505098497862182e-01,8.550203211406489645e-01,8.946130117290297390e-01
9.385833421302649526e-01,9.138733068819263616e-01,8.900659604237457501e-01,9.018125358625578292e-01
9.323551145360498005e-01,8.886803634926906392e-01,8.991605036977813326e-01,8.938897168405365301e-01
9.274042014145466029e-01,8.897234666037926454e-01,8.799720167899260925e-01,8.848208752742559025e-01
9.290404306977726456e-01,9.091899107707440697e-01,8.621826903857685576e-01,8.850625812187948860e-01
9.341602449065765645e-01,9.100596613442769600e-01,8.791058698114464498e-01,8.943150046598321579e-01
9.070938456666314265e-01,8.265460030165912020e-01,8.945299486974481740e-01,8.591952643788496324e-01
9.255568457721946585e-01,8.903127124405166848e-01,8.725764541275234931e-01,8.813553618897002062e-01
9.305710968014356821e-01,8.976420695504665481e-01,8.814044906389499889e-01,8.894491788949960842e-01
9.349730813892114245e-01,9.016227863443538881e-01,8.921313878339662828e-01,8.968519758874748948e-01
